Commit	Ref Type	Entity before	Entity after	RefDiff	Details
https://github.com/icse18-refactorings/java-driver/commit/1edac0e92080e7c5e971b2d56c8753bf44ea8a6c	Extract Method	com.datastax.driver.core.PoolingOptions.setMaxSimultaneousRequestsPerConnectionThreshold(HostDistance,int)	com.datastax.driver.core.PoolingOptions.setNewConnectionThreshold(HostDistance,int)	TP	
https://github.com/icse18-refactorings/quasar/commit/56d4b999e8be70be237049708f019c278c356e71	Rename Method	co.paralleluniverse.fibers.Fiber.isNonSuspendable(Class,String)	co.paralleluniverse.fibers.Fiber.isSuspendable(Class,String)	TP	
https://github.com/icse18-refactorings/quasar/commit/56d4b999e8be70be237049708f019c278c356e71	Extract Method	co.paralleluniverse.fibers.instrument.InstrumentClass.visitEnd()	co.paralleluniverse.fibers.instrument.InstrumentClass.emitInstrumentedAnn()	FN	?
https://github.com/icse18-refactorings/quasar/commit/56d4b999e8be70be237049708f019c278c356e71	Extract Method	co.paralleluniverse.fibers.instrument.InstrumentMethod.accept(MethodVisitor,boolean)	co.paralleluniverse.fibers.instrument.InstrumentMethod.emitInstrumentedAnn(MethodVisitor)	TP	
https://github.com/icse18-refactorings/quasar/commit/56d4b999e8be70be237049708f019c278c356e71	Inline Method	co.paralleluniverse.fibers.Fiber.checkInstrumentation(boolean)	co.paralleluniverse.fibers.Fiber.checkInstrumentation()	FN	?
https://github.com/icse18-refactorings/quasar/commit/56d4b999e8be70be237049708f019c278c356e71	Inline Method	co.paralleluniverse.fibers.Fiber.verifySuspend(Fiber,boolean)	co.paralleluniverse.fibers.Fiber.verifySuspend(Fiber)	FN	?
https://github.com/icse18-refactorings/quasar/commit/56d4b999e8be70be237049708f019c278c356e71	Inline Method	co.paralleluniverse.fibers.Stack.popMethod(boolean)	co.paralleluniverse.fibers.Stack.popMethod()	TP	
https://github.com/icse18-refactorings/quasar/commit/56d4b999e8be70be237049708f019c278c356e71	Inline Method	co.paralleluniverse.fibers.Stack.pushMethod(int,int,String,int)	co.paralleluniverse.fibers.Stack.pushMethod(int,int)	TP	
https://github.com/icse18-refactorings/hibernate-orm/commit/2b89553db5081fe4e55b7b34d636d0ea2acf71c5	Extract Method	org.hibernate.boot.model.source.internal.annotations.AnnotationMetadataSourceProcessorImpl.AnnotationMetadataSourceProcessorImpl(MetadataSources,MetadataBuildingContextRootImpl,IndexView)	org.hibernate.boot.model.source.internal.annotations.AnnotationMetadataSourceProcessorImpl.categorizeAnnotatedClass(Class,AttributeConverterManager)	TP	
https://github.com/icse18-refactorings/cassandra/commit/446e2537895c15b404a74107069a12f3fc404b15	Move Class	org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat.SplitCallable	org.apache.cassandra.hadoop.cql3.CqlInputFormat.SplitCallable	TP	
https://github.com/icse18-refactorings/cassandra/commit/446e2537895c15b404a74107069a12f3fc404b15	Move Class	org.apache.cassandra.hadoop.BulkRecordWriter.NullOutputHandler	org.apache.cassandra.hadoop.cql3.CqlBulkRecordWriter.NullOutputHandler	TP	
https://github.com/icse18-refactorings/cassandra/commit/446e2537895c15b404a74107069a12f3fc404b15	Move Method	org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat.describeSplits(String,String,TokenRange,int)	org.apache.cassandra.hadoop.cql3.CqlInputFormat.describeSplits(String,String,TokenRange,int)	TP	
https://github.com/icse18-refactorings/cassandra/commit/446e2537895c15b404a74107069a12f3fc404b15	Move Method	org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat.getRangeMap(Configuration,String)	org.apache.cassandra.hadoop.cql3.CqlInputFormat.getRangeMap(Configuration,String)	TP	
https://github.com/icse18-refactorings/cassandra/commit/446e2537895c15b404a74107069a12f3fc404b15	Move Method	org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat.getSplits(JobConf,int)	org.apache.cassandra.hadoop.cql3.CqlInputFormat.getSplits(JobConf,int)	TP	
https://github.com/icse18-refactorings/cassandra/commit/446e2537895c15b404a74107069a12f3fc404b15	Move Method	org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat.getSplits(JobContext)	org.apache.cassandra.hadoop.cql3.CqlInputFormat.getSplits(JobContext)	TP	
